2016/03/20 14:33:57 [router.go:829][D] | GET        | /test                                    | 276.592µs        | match      | /test                                    | 
2016/03/20 14:34:00 [router.go:829][D] | GET        | /test                                    | 350.632µs        | match      | /test                                    | 
2016/03/20 14:34:23 [router.go:829][D] | GET        | /test                                    | 504.283µs        | match      | /test                                    | 
2016/03/20 14:34:24 [router.go:829][D] | GET        | /test                                    | 283.889µs        | match      | /test                                    | 
2016/03/20 14:49:50 [router.go:829][D] | GET        | /                                        | 2.880242ms       | match      | /                                        | 
2016/03/20 14:49:50 [router.go:829][D] | GET        | /test                                    | 403.44µs         | match      | /test                                    | 
2016/03/20 14:49:50 [router.go:829][D] | GET        | /category                                | 306.151µs        | match      | /category                                | 
2016/03/20 14:50:49 [router.go:829][D] | GET        | /test                                    | 263.258µs        | match      | /test                                    | 
2016/03/20 14:50:49 [router.go:829][D] | GET        | /test                                    | 271.285µs        | match      | /test                                    | 
2016/03/20 14:50:50 [router.go:829][D] | GET        | /test                                    | 336.533µs        | match      | /test                                    | 
2016/03/20 14:50:50 [router.go:829][D] | GET        | /test                                    | 345.704µs        | match      | /test                                    | 
2016/03/20 14:50:51 [router.go:829][D] | GET        | /                                        | 1.83314ms        | match      | /                                        | 
2016/03/20 14:50:51 [router.go:829][D] | GET        | /test                                    | 458.765µs        | match      | /test                                    | 
2016/03/20 14:50:51 [router.go:829][D] | GET        | /category                                | 249.761µs        | match      | /category                                | 
2016/03/20 14:52:49 [router.go:829][D] | GET        | /                                        | 1.280775ms       | match      | /                                        | 
2016/03/20 14:52:49 [router.go:829][D] | GET        | /test                                    | 603.139µs        | match      | /test                                    | 
2016/03/20 14:52:49 [router.go:829][D] | GET        | /category                                | 761.254µs        | match      | /category                                | 
2016/03/20 14:53:03 [router.go:829][D] | GET        | /                                        | 1.132875ms       | match      | /                                        | 
2016/03/20 14:53:03 [router.go:829][D] | GET        | /test                                    | 413.578µs        | match      | /test                                    | 
2016/03/20 14:53:03 [router.go:829][D] | GET        | /category                                | 359.624µs        | match      | /category                                | 
2016/03/20 14:53:42 [router.go:829][D] | GET        | /                                        | 1.17101ms        | match      | /                                        | 
2016/03/20 14:53:42 [router.go:829][D] | GET        | /test                                    | 414.486µs        | match      | /test                                    | 
2016/03/20 14:53:42 [router.go:829][D] | GET        | /category                                | 312.776µs        | match      | /category                                | 
2016/03/20 14:53:56 [router.go:829][D] | GET        | /                                        | 2.211102ms       | match      | /                                        | 
2016/03/20 14:53:56 [router.go:829][D] | GET        | /test                                    | 483.573µs        | match      | /test                                    | 
2016/03/20 14:53:56 [router.go:829][D] | GET        | /category                                | 275.702µs        | match      | /category                                | 
2016/03/20 14:54:06 [router.go:829][D] | GET        | /                                        | 1.250577ms       | match      | /                                        | 
2016/03/20 14:54:06 [router.go:829][D] | GET        | /test                                    | 315.342µs        | match      | /test                                    | 
